Player Name,Club,Position,market_value_in_eur,ML Estimated Value,Final Valuation,Valuation Type
Marcus Rashford,Aston Villa,MID,50000000.0,41080000.0,50000000.0,Transfermarkt
Matty Cash,Aston Villa,DEF,25000000.0,25132000.0,25000000.0,Transfermarkt
Morgan Rogers,Aston Villa,MID,55000000.0,67302000.0,55000000.0,Transfermarkt
Ollie Watkins,Aston Villa,FWD,40000000.0,42072000.0,40000000.0,Transfermarkt
Pau Torres,Aston Villa,DEF,32000000.0,26902000.0,32000000.0,Transfermarkt
Robin Olsen,Aston Villa,GKP,1000000.0,1859000.0,1000000.0,Transfermarkt
Ross Barkley,Aston Villa,MID,6000000.0,6978000.0,6000000.0,Transfermarkt
Tyrone Mings,Aston Villa,DEF,5000000.0,5499000.0,5000000.0,Transfermarkt
Youri Tielemans,Aston Villa,MID,38000000.0,37327000.0,38000000.0,Transfermarkt
Adam Smith,Bournemouth,DEF,750000.0,2276000.0,750000.0,Transfermarkt
Alex Scott,Bournemouth,MID,20000000.0,19794000.0,20000000.0,Transfermarkt
Antoine Semenyo,Bournemouth,MID,40000000.0,51538000.0,40000000.0,Transfermarkt
Ben Winterburn,Bournemouth,MID,500000.0,2745000.0,500000.0,Transfermarkt
Dango Ouattara,Bournemouth,MID,28000000.0,34478000.0,28000000.0,Transfermarkt
Daniel Jebbison,Bournemouth,FWD,4000000.0,8629000.0,4000000.0,Transfermarkt
David Brooks,Bournemouth,MID,10000000.0,23791000.0,10000000.0,Transfermarkt
Dean Huijsen,Bournemouth,DEF,60000000.0,50932000.0,60000000.0,Transfermarkt
Enes Ünal,Bournemouth,FWD,10000000.0,13681000.0,10000000.0,Transfermarkt
Evanilson,Bournemouth,FWD,35000000.0,36886000.0,35000000.0,Transfermarkt
James Hill,Bournemouth,DEF,3000000.0,7238000.0,3000000.0,Transfermarkt
Julio Soler,Bournemouth,DEF,8000000.0,9764000.0,8000000.0,Transfermarkt
Julián Araujo,Bournemouth,DEF,10000000.0,9992000.0,10000000.0,Transfermarkt
Justin Kluivert,Bournemouth,MID,35000000.0,33700000.0,35000000.0,Transfermarkt
Lewis Cook,Bournemouth,MID,15000000.0,23018000.0,15000000.0,Transfermarkt
Lloyd Kelly,Bournemouth,DEF,18000000.0,13403000.0,18000000.0,Transfermarkt
Luis Sinisterra,Bournemouth,MID,15000000.0,15782000.0,15000000.0,Transfermarkt
Marcos Senesi,Bournemouth,DEF,22000000.0,20917000.0,22000000.0,Transfermarkt
Marcus Tavernier,Bournemouth,MID,18000000.0,29275000.0,18000000.0,Transfermarkt
Mark Travers,Bournemouth,GKP,4000000.0,8639000.0,4000000.0,Transfermarkt
Max Aarons,Bournemouth,DEF,16000000.0,13538000.0,16000000.0,Transfermarkt
Milos Kerkez,Bournemouth,DEF,45000000.0,46641000.0,45000000.0,Transfermarkt
Philip Billing,Bournemouth,MID,14000000.0,14296000.0,14000000.0,Transfermarkt
Ryan Christie,Bournemouth,MID,10000000.0,20095000.0,10000000.0,Transfermarkt
Tyler Adams,Bournemouth,MID,18000000.0,30186000.0,18000000.0,Transfermarkt
Ben Mee,Brentford,DEF,1000000.0,934000.0,1000000.0,Transfermarkt
Bryan Mbeumo,Brentford,MID,55000000.0,58461000.0,55000000.0,Transfermarkt
Christian Nørgaard,Brentford,MID,11000000.0,23830000.0,11000000.0,Transfermarkt
Ethan Pinnock,Brentford,DEF,7000000.0,7825000.0,7000000.0,Transfermarkt
Frank Onyeka,Brentford,MID,9000000.0,10891000.0,9000000.0,Transfermarkt
Fábio Carvalho,Brentford,FWD,14000000.0,15172000.0,14000000.0,Transfermarkt
Hákon Valdimarsson,Brentford,GKP,2500000.0,6201000.0,2500000.0,Transfermarkt
Igor Thiago,Brentford,FWD,18000000.0,12832000.0,18000000.0,Transfermarkt
Keane Lewis-Potter,Brentford,MID,23000000.0,32432000.0,23000000.0,Transfermarkt
Kevin Schade,Brentford,MID,30000000.0,35683000.0,30000000.0,Transfermarkt
Kristoffer Ajer,Brentford,DEF,18000000.0,20175000.0,18000000.0,Transfermarkt
Mads Roerslev,Brentford,DEF,12000000.0,14642000.0,12000000.0,Transfermarkt
Mark Flekken,Brentford,GKP,10000000.0,13063000.0,10000000.0,Transfermarkt
Mathias Jensen,Brentford,MID,14000000.0,14186000.0,14000000.0,Transfermarkt
Michael Kayode,Brentford,DEF,18000000.0,16049000.0,18000000.0,Transfermarkt
Mikkel Damsgaard,Brentford,MID,28000000.0,35881000.0,28000000.0,Transfermarkt
Nathan Collins,Brentford,DEF,28000000.0,47143000.0,28000000.0,Transfermarkt
Rico Henry,Brentford,DEF,15000000.0,12915000.0,15000000.0,Transfermarkt
Ryan Trevitt,Brentford,MID,275000.0,7618000.0,275000.0,Transfermarkt
Sepp van den Berg,Brentford,DEF,22000000.0,32512000.0,22000000.0,Transfermarkt
Vitaly Janelt,Brentford,MID,20000000.0,19136000.0,20000000.0,Transfermarkt
Yoane Wissa,Brentford,FWD,32000000.0,50068000.0,32000000.0,Transfermarkt
Yunus Konak,Brentford,MID,4500000.0,6901000.0,4500000.0,Transfermarkt
Jakub Moder,Brighton,MID,10000000.0,11132000.0,10000000.0,Transfermarkt
James Milner,Brighton,MID,1000000.0,1223000.0,1000000.0,Transfermarkt
Adam Webster,Brighton & Hove Albion,DEF,11000000.0,10168000.0,11000000.0,Transfermarkt
Bart Verbruggen,Brighton & Hove Albion,GKP,30000000.0,31803000.0,30000000.0,Transfermarkt
Billy Gilmour,Brighton & Hove Albion,MID,18000000.0,15237000.0,18000000.0,Transfermarkt
Brajan Gruda,Brighton & Hove Albion,MID,25000000.0,22361000.0,25000000.0,Transfermarkt
Carlos Baleba,Brighton & Hove Albion,MID,40000000.0,40750000.0,40000000.0,Transfermarkt
Danny Welbeck,Brighton & Hove Albion,FWD,5000000.0,50323000.0,5000000.0,Transfermarkt
Eiran Cashin,Brighton & Hove Albion,DEF,8000000.0,5929000.0,8000000.0,Transfermarkt
Georginio Rutter,Brighton & Hove Albion,MID,32000000.0,34101000.0,32000000.0,Transfermarkt
Igor Julio,Brighton & Hove Albion,DEF,20000000.0,18308000.0,20000000.0,Transfermarkt
Jack Hinshelwood,Brighton & Hove Albion,MID,24000000.0,28087000.0,24000000.0,Transfermarkt
Jan Paul van Hecke,Brighton & Hove Albion,DEF,32000000.0,31549000.0,32000000.0,Transfermarkt
Jason Steele,Brighton & Hove Albion,GKP,1500000.0,1214000.0,1500000.0,Transfermarkt
Jeremy Sarmiento,Brighton & Hove Albion,MID,7000000.0,8964000.0,7000000.0,Transfermarkt
Joël Veltman,Brighton & Hove Albion,DEF,4000000.0,5553000.0,4000000.0,Transfermarkt
Kaoru Mitoma,Brighton & Hove Albion,FWD,40000000.0,40655000.0,40000000.0,Transfermarkt
Lewis Dunk,Brighton & Hove Albion,DEF,6000000.0,7104000.0,6000000.0,Transfermarkt
Mats Wieffer,Brighton & Hove Albion,MID,25000000.0,23543000.0,25000000.0,Transfermarkt
Matt O'Riley,Brighton & Hove Albion,MID,22000000.0,20666000.0,22000000.0,Transfermarkt
Pervis Estupiñán,Brighton & Hove Albion,DEF,30000000.0,22720000.0,30000000.0,Transfermarkt
Simon Adingra,Brighton & Hove Albion,MID,28000000.0,25918000.0,28000000.0,Transfermarkt
Solly March,Brighton & Hove Albion,MID,6000000.0,6183000.0,6000000.0,Transfermarkt
Tariq Lamptey,Brighton & Hove Albion,DEF,11000000.0,12301000.0,11000000.0,Transfermarkt
Yankuba Minteh,Brighton & Hove Albion,MID,30000000.0,31976000.0,30000000.0,Transfermarkt
Yasin Ayari,Brighton & Hove Albion,MID,22000000.0,26262000.0,22000000.0,Transfermarkt
Benoît Badiashile,Chelsea,DEF,22000000.0,16741000.0,22000000.0,Transfermarkt
Christopher Nkunku,Chelsea,MID,35000000.0,18895000.0,35000000.0,Transfermarkt
Cole Palmer,Chelsea,MID,120000000.0,104137000.0,120000000.0,Transfermarkt
Enzo Fernández,Chelsea,MID,75000000.0,60342000.0,75000000.0,Transfermarkt
Filip Jørgensen,Chelsea,GKP,18000000.0,12797000.0,18000000.0,Transfermarkt
Jadon Sancho,Chelsea,MID,28000000.0,29203000.0,28000000.0,Transfermarkt
Josh Acheampong,Chelsea,DEF,8000000.0,8088000.0,8000000.0,Transfermarkt
João Félix,Chelsea,FWD,30000000.0,27532000.0,30000000.0,Transfermarkt
Kiernan Dewsbury-Hall,Chelsea,MID,20000000.0,11891000.0,20000000.0,Transfermarkt
Levi Colwill,Chelsea,DEF,55000000.0,52646000.0,55000000.0,Transfermarkt
Malo Gusto,Chelsea,DEF,35000000.0,32634000.0,35000000.0,Transfermarkt
Marc Cucurella,Chelsea,DEF,35000000.0,36621000.0,35000000.0,Transfermarkt
Marc Guiu,Chelsea,DEF,8000000.0,7300000.0,8000000.0,Transfermarkt
Mathis Amougou,Chelsea,MID,10000000.0,8975000.0,10000000.0,Transfermarkt
Moisés Caicedo,Chelsea,MID,90000000.0,56216000.0,90000000.0,Transfermarkt
Nicolas Jackson,Chelsea,FWD,50000000.0,48334000.0,50000000.0,Transfermarkt
Noni Madueke,Chelsea,MID,40000000.0,39807000.0,40000000.0,Transfermarkt
Pedro Neto,Chelsea,MID,50000000.0,50053000.0,50000000.0,Transfermarkt
Reece James,Chelsea,DEF,400000.0,3265000.0,400000.0,Transfermarkt
Renato Veiga,Chelsea,MID,10000000.0,11914000.0,10000000.0,Transfermarkt
Robert Sánchez,Chelsea,GKP,20000000.0,20855000.0,20000000.0,Transfermarkt
Roméo Lavia,Chelsea,MID,40000000.0,27212000.0,40000000.0,Transfermarkt
Tosin Adarabioyo,Chelsea,DEF,20000000.0,22343000.0,20000000.0,Transfermarkt
Trevoh Chalobah,Chelsea,DEF,25000000.0,26058000.0,25000000.0,Transfermarkt
Tyrique George,Chelsea,FWD,10000000.0,9722000.0,10000000.0,Transfermarkt
Wesley Fofana,Chelsea,DEF,25000000.0,22744000.0,25000000.0,Transfermarkt
Adam Wharton,Crystal Palace,MID,45000000.0,36899000.0,45000000.0,Transfermarkt
Ben Chilwell,Crystal Palace,DEF,15000000.0,13413000.0,15000000.0,Transfermarkt
Caleb Kporha,Crystal Palace,DEF,1000000.0,6514000.0,1000000.0,Transfermarkt
Chadi Riad,Crystal Palace,DEF,15000000.0,11193000.0,15000000.0,Transfermarkt
Cheick Doucouré,Crystal Palace,MID,25000000.0,11002000.0,25000000.0,Transfermarkt
Chris Richards,Crystal Palace,DEF,14000000.0,20302000.0,14000000.0,Transfermarkt
Daichi Kamada,Crystal Palace,MID,12000000.0,22370000.0,12000000.0,Transfermarkt
Daniel Muñoz,Crystal Palace,DEF,25000000.0,31244000.0,25000000.0,Transfermarkt
Dean Henderson,Crystal Palace,GKP,20000000.0,21048000.0,20000000.0,Transfermarkt
Eberechi Eze,Crystal Palace,MID,55000000.0,57837000.0,55000000.0,Transfermarkt
Eddie Nketiah,Crystal Palace,FWD,18000000.0,21823000.0,18000000.0,Transfermarkt
Ismaïla Sarr,Crystal Palace,MID,25000000.0,42667000.0,25000000.0,Transfermarkt
Jean-Philippe Mateta,Crystal Palace,FWD,30000000.0,34563000.0,30000000.0,Transfermarkt
Jefferson Lerma,Crystal Palace,MID,10000000.0,14356000.0,10000000.0,Transfermarkt
Jeffrey Schlupp,Crystal Palace,MID,6000000.0,5305000.0,6000000.0,Transfermarkt
Joel Ward,Crystal Palace,DEF,500000.0,886000.0,500000.0,Transfermarkt
Jordan Ayew,Crystal Palace,MID,2500000.0,7241000.0,2500000.0,Transfermarkt
Justin Devenny,Crystal Palace,MID,6000000.0,9779000.0,6000000.0,Transfermarkt
Marc Guéhi,Crystal Palace,DEF,45000000.0,45706000.0,45000000.0,Transfermarkt
Matheus França,Crystal Palace,MID,10000000.0,8575000.0,10000000.0,Transfermarkt
Maxence Lacroix,Crystal Palace,DEF,25000000.0,35249000.0,25000000.0,Transfermarkt
Nathaniel Clyne,Crystal Palace,DEF,1000000.0,1350000.0,1000000.0,Transfermarkt
Romain Esse,Crystal Palace,MID,12000000.0,10674000.0,12000000.0,Transfermarkt
Tyrick Mitchell,Crystal Palace,DEF,25000000.0,27515000.0,25000000.0,Transfermarkt
Will Hughes,Crystal Palace,MID,7000000.0,17403000.0,7000000.0,Transfermarkt
Abdoulaye Doucouré,Everton,MID,7000000.0,8874000.0,7000000.0,Transfermarkt
Adam Armstrong,Everton,FWD,12000000.0,17644000.0,12000000.0,Transfermarkt
Armando Broja,Everton,FWD,12000000.0,13492000.0,12000000.0,Transfermarkt
Ashley Young,Everton,DEF,500000.0,4705000.0,500000.0,Transfermarkt
Carlos Alcaraz,Everton,MID,14000000.0,16385000.0,14000000.0,Transfermarkt
Dominic Calvert-Lewin,Everton,FWD,16000000.0,24146000.0,16000000.0,Transfermarkt
Dwight McNeil,Everton,MID,25000000.0,25005000.0,25000000.0,Transfermarkt
Harrison Armstrong,Everton,MID,500000.0,3516000.0,500000.0,Transfermarkt
Idrissa Gueye,Everton,MID,1500000.0,13369000.0,1500000.0,Transfermarkt
Iliman Ndiaye,Everton,FWD,22000000.0,29627000.0,22000000.0,Transfermarkt
Jack Harrison,Everton,MID,14000000.0,15819000.0,14000000.0,Transfermarkt
Jake O'Brien,Everton,MID,18000000.0,18930000.0,18000000.0,Transfermarkt
James Garner,Everton,MID,18000000.0,21128000.0,18000000.0,Transfermarkt
James Tarkowski,Everton,DEF,9000000.0,9871000.0,9000000.0,Transfermarkt
Jarrad Branthwaite,Everton,DEF,50000000.0,44075000.0,50000000.0,Transfermarkt
Jesper Lindstrøm,Everton,MID,18000000.0,19441000.0,18000000.0,Transfermarkt
Jordan Pickford,Everton,GKP,18000000.0,18632000.0,18000000.0,Transfermarkt
Michael Keane,Everton,DEF,5000000.0,5045000.0,5000000.0,Transfermarkt
Nathan Patterson,Everton,DEF,15000000.0,12308000.0,15000000.0,Transfermarkt
Orel Mangala,Everton,MID,18000000.0,18503000.0,18000000.0,Transfermarkt
Séamus Coleman,Everton,DEF,500000.0,2193000.0,500000.0,Transfermarkt
Tim Iroegbunam,Everton,MID,9000000.0,17345000.0,9000000.0,Transfermarkt
Youssef Chermiti,Everton,FWD,8000000.0,7568000.0,8000000.0,Transfermarkt
Alex Iwobi,Fulham,MID,28000000.0,32649000.0,28000000.0,Transfermarkt
Andreas Pereira,Fulham,MID,18000000.0,21388000.0,18000000.0,Transfermarkt
Antonee Robinson,Fulham,DEF,35000000.0,32669000.0,35000000.0,Transfermarkt
Bernd Leno,Fulham,GKP,10000000.0,10753000.0,10000000.0,Transfermarkt
Calvin Bassey,Fulham,DEF,25000000.0,28217000.0,25000000.0,Transfermarkt
Carlos Vinícius,Fulham,MID,3500000.0,3513000.0,3500000.0,Transfermarkt
Emile Smith Rowe,Fulham,MID,30000000.0,32122000.0,30000000.0,Transfermarkt
Harrison Reed,Fulham,MID,6000000.0,6228000.0,6000000.0,Transfermarkt
Harry Wilson,Fulham,MID,15000000.0,22971000.0,15000000.0,Transfermarkt
Issa Diop,Fulham,DEF,14000000.0,14888000.0,14000000.0,Transfermarkt
Joachim Andersen,Fulham,DEF,27000000.0,25335000.0,27000000.0,Transfermarkt
Jorge Cuenca,Fulham,DEF,5000000.0,7384000.0,5000000.0,Transfermarkt
Josh King,Fulham,GKP,1000000.0,12630000.0,1000000.0,Transfermarkt
Kenny Tete,Fulham,DEF,13000000.0,13918000.0,13000000.0,Transfermarkt
Martial Godo,Fulham,FWD,600000.0,5404000.0,600000.0,Transfermarkt
Raúl Jiménez,Fulham,FWD,5000000.0,18082000.0,5000000.0,Transfermarkt
Reiss Nelson,Fulham,MID,16000000.0,17336000.0,16000000.0,Transfermarkt
Rodrigo Muniz,Fulham,FWD,20000000.0,24259000.0,20000000.0,Transfermarkt
Ryan Sessegnon,Fulham,DEF,15000000.0,14813000.0,15000000.0,Transfermarkt
Sander Berge,Fulham,MID,25000000.0,24256000.0,25000000.0,Transfermarkt
Sasa Lukic,Fulham,MID,14000000.0,17466000.0,14000000.0,Transfermarkt
Timothy Castagne,Fulham,DEF,13000000.0,17749000.0,13000000.0,Transfermarkt
Tom Cairney,Fulham,MID,1500000.0,2436000.0,1500000.0,Transfermarkt
Willian,Fulham,FWD,750000.0,2534000.0,750000.0,Transfermarkt
Alex Palmer,Ipswich Town,MID,900000.0,4830000.0,900000.0,Transfermarkt
Ali Al-Hamadi,Ipswich Town,FWD,2500000.0,6934000.0,2500000.0,Transfermarkt
Arijanet Muric,Ipswich Town,GKP,5000000.0,12655000.0,5000000.0,Transfermarkt
Axel Tuanzebe,Ipswich Town,DEF,5000000.0,10837000.0,5000000.0,Transfermarkt
Ben Godfrey,Ipswich Town,DEF,6000000.0,5705000.0,6000000.0,Transfermarkt
Ben Johnson,Ipswich Town,DEF,8000000.0,11110000.0,8000000.0,Transfermarkt
Cameron Burgess,Ipswich Town,DEF,2000000.0,8120000.0,2000000.0,Transfermarkt
Christian Walton,Ipswich Town,GKP,900000.0,5194000.0,900000.0,Transfermarkt
Conor Chaplin,Ipswich Town,MID,6000000.0,11382000.0,6000000.0,Transfermarkt
Conor Townsend,Ipswich Town,DEF,800000.0,1836000.0,800000.0,Transfermarkt
Dara O'Shea,Ipswich Town,DEF,14000000.0,25762000.0,14000000.0,Transfermarkt
George Edmundson,Ipswich Town,DEF,800000.0,6746000.0,800000.0,Transfermarkt
George Hirst,Ipswich Town,FWD,4000000.0,9378000.0,4000000.0,Transfermarkt
Harry Clarke,Ipswich Town,DEF,4500000.0,6278000.0,4500000.0,Transfermarkt
Jack Clarke,Ipswich Town,FWD,15000000.0,18634000.0,15000000.0,Transfermarkt
Jack Taylor,Ipswich Town,MID,3000000.0,9143000.0,3000000.0,Transfermarkt
Jacob Greaves,Ipswich Town,DEF,18000000.0,27411000.0,18000000.0,Transfermarkt
Jaden Philogene,Ipswich Town,MID,16000000.0,17825000.0,16000000.0,Transfermarkt
Jens Cajuste,Ipswich Town,MID,12000000.0,16948000.0,12000000.0,Transfermarkt
Julio Enciso,Ipswich Town,MID,22000000.0,31740000.0,22000000.0,Transfermarkt
Kalvin Phillips,Ipswich Town,MID,12000000.0,13328000.0,12000000.0,Transfermarkt
Leif Davis,Ipswich Town,DEF,22000000.0,23147000.0,22000000.0,Transfermarkt
Liam Delap,Ipswich Town,FWD,40000000.0,37821000.0,40000000.0,Transfermarkt
Luke Woolfenden,Ipswich Town,DEF,2000000.0,8103000.0,2000000.0,Transfermarkt
Marcus Harness,Ipswich Town,MID,800000.0,5167000.0,800000.0,Transfermarkt
Massimo Luongo,Ipswich Town,MID,400000.0,2377000.0,400000.0,Transfermarkt
Nathan Broadhead,Ipswich Town,MID,4500000.0,18328000.0,4500000.0,Transfermarkt
Omari Hutchinson,Ipswich Town,MID,22000000.0,40155000.0,22000000.0,Transfermarkt
Sam Morsy,Ipswich Town,MID,500000.0,4384000.0,500000.0,Transfermarkt
Abdul Fatawu,Leicester City,MID,11000000.0,15756000.0,11000000.0,Transfermarkt
Bilal El Khannouss,Leicester City,MID,28000000.0,29391000.0,28000000.0,Transfermarkt
Bobby De Cordova-Reid,Leicester City,MID,2500000.0,4395000.0,2500000.0,Transfermarkt
Boubakary Soumaré,Leicester City,MID,20000000.0,20355000.0,20000000.0,Transfermarkt
Conor Coady,Leicester City,DEF,2200000.0,3865000.0,2200000.0,Transfermarkt
Danny Ward,Leicester City,GKP,700000.0,1068000.0,700000.0,Transfermarkt
Facundo Buonanotte,Leicester City,MID,20000000.0,23822000.0,20000000.0,Transfermarkt
Hamza Choudhury,Leicester City,MID,4500000.0,7314000.0,4500000.0,Transfermarkt
Harry Winks,Leicester City,MID,9000000.0,12318000.0,9000000.0,Transfermarkt
Jakub Stolarczyk,Leicester City,GKP,300000.0,7359000.0,300000.0,Transfermarkt
James Justin,Leicester City,DEF,13000000.0,16306000.0,13000000.0,Transfermarkt
Jamie Vardy,Leicester City,FWD,1000000.0,50741000.0,1000000.0,Transfermarkt
Jannik Vestergaard,Leicester City,DEF,2000000.0,3578000.0,2000000.0,Transfermarkt
Kasey McAteer,Leicester City,MID,2000000.0,9398000.0,2000000.0,Transfermarkt
Luke Thomas,Leicester City,DEF,6000000.0,12487000.0,6000000.0,Transfermarkt
Mads Hermansen,Leicester City,GKP,15000000.0,21603000.0,15000000.0,Transfermarkt
Michael Golding,Leicester City,MID,2000000.0,10218000.0,2000000.0,Transfermarkt
Odsonne Édouard,Leicester City,FWD,8000000.0,11567000.0,8000000.0,Transfermarkt
Oliver Skipp,Leicester City,MID,10000000.0,19470000.0,10000000.0,Transfermarkt
Patson Daka,Leicester City,FWD,15000000.0,17193000.0,15000000.0,Transfermarkt
Ricardo Pereira,Leicester City,DEF,4500000.0,4120000.0,4500000.0,Transfermarkt
Stephy Mavididi,Leicester City,MID,10000000.0,23569000.0,10000000.0,Transfermarkt
Victor Kristiansen,Leicester City,DEF,15000000.0,23052000.0,15000000.0,Transfermarkt
Wilfred Ndidi,Leicester City,MID,15000000.0,19665000.0,15000000.0,Transfermarkt
Wout Faes,Leicester City,DEF,15000000.0,18801000.0,15000000.0,Transfermarkt
Woyo Coulibaly,Leicester City,DEF,2000000.0,5320000.0,2000000.0,Transfermarkt
Alexis Mac Allister,Liverpool,MID,100000000.0,77926000.0,100000000.0,Transfermarkt
Caoimhín Kelleher,Liverpool,GKP,20000000.0,17177000.0,20000000.0,Transfermarkt
Cody Gakpo,Liverpool,FWD,70000000.0,58648000.0,70000000.0,Transfermarkt
Conor Bradley,Liverpool,DEF,30000000.0,27315000.0,30000000.0,Transfermarkt
Curtis Jones,Liverpool,MID,45000000.0,37871000.0,45000000.0,Transfermarkt
Darwin Núñez,Liverpool,FWD,45000000.0,36717000.0,45000000.0,Transfermarkt
Diogo Jota,Liverpool,FWD,40000000.0,39431000.0,40000000.0,Transfermarkt
Dominik Szoboszlai,Liverpool,MID,80000000.0,72594000.0,80000000.0,Transfermarkt
Federico Chiesa,Liverpool,FWD,14000000.0,15713000.0,14000000.0,Transfermarkt
Harvey Elliott,Liverpool,MID,30000000.0,25985000.0,30000000.0,Transfermarkt
Ibrahima Konaté,Liverpool,DEF,60000000.0,48942000.0,60000000.0,Transfermarkt
Jarell Quansah,Liverpool,DEF,20000000.0,12812000.0,20000000.0,Transfermarkt
Jayden Danns,Liverpool,MID,800000.0,4425000.0,800000.0,Transfermarkt
Joe Gomez,Liverpool,DEF,20000000.0,13484000.0,20000000.0,Transfermarkt
Luis Díaz,Liverpool,MID,70000000.0,53604000.0,70000000.0,Transfermarkt
Mohamed Salah,Liverpool,MID,50000000.0,70464000.0,50000000.0,Transfermarkt
Ryan Gravenberch,Liverpool,MID,75000000.0,61598000.0,75000000.0,Transfermarkt
Trent Alexander-Arnold,Liverpool,DEF,75000000.0,59083000.0,75000000.0,Transfermarkt
Virgil van Dijk,Liverpool,DEF,23000000.0,19284000.0,23000000.0,Transfermarkt
Vítezslav Jaros,Liverpool,GKP,4000000.0,4288000.0,4000000.0,Transfermarkt
Wataru Endo,Liverpool,MID,8000000.0,6451000.0,8000000.0,Transfermarkt
Abdukodir Khusanov,Manchester City,DEF,35000000.0,26121000.0,35000000.0,Transfermarkt
Bernardo Silva,Manchester City,MID,38000000.0,30353000.0,38000000.0,Transfermarkt
Claudio Echeverri,Manchester City,FWD,18000000.0,12356000.0,18000000.0,Transfermarkt
Divin Mubama,Manchester City,FWD,1000000.0,3242000.0,1000000.0,Transfermarkt
Erling Haaland,Manchester City,FWD,180000000.0,118712000.0,180000000.0,Transfermarkt
Ilkay Gündogan,Manchester City,MID,5000000.0,13692000.0,5000000.0,Transfermarkt
Jack Grealish,Manchester City,MID,28000000.0,21898000.0,28000000.0,Transfermarkt
James McAtee,Manchester City,MID,20000000.0,19322000.0,20000000.0,Transfermarkt
John Stones,Manchester City,DEF,25000000.0,17144000.0,25000000.0,Transfermarkt
Josko Gvardiol,Manchester City,DEF,75000000.0,66817000.0,75000000.0,Transfermarkt
Jérémy Doku,Manchester City,MID,50000000.0,42196000.0,50000000.0,Transfermarkt
